Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-04-02 Kl. 06-07;0,06830;0,06830;0,06830;0,05464;0,06830
2020-04-02 Kl. 07-08;0,07200;0,07200;0,07456;0,05965;0,07200
2020-04-02 Kl. 08-09;0,07243;0,07243;0,07243;0,05794;0,07243
2020-04-02 Kl. 09-10;0,07058;0,07058;0,07058;0,05646;0,07058
2020-04-02 Kl. 10-11;0,06901;0,06901;0,06901;0,05521;0,06901
2020-04-02 Kl. 11-12;0,06716;0,06716;0,06716;0,05373;0,06716
2020-04-02 Kl. 12-13;0,06631;0,06631;0,06631;0,05305;0,06631
2020-04-02 Kl. 13-14;0,06560;0,06560;0,06560;0,05248;0,06560
2020-04-02 Kl. 14-15;0,06446;0,06446;0,06446;0,05157;0,06446
2020-04-02 Kl. 15-16;0,06418;0,06418;0,06418;0,05134;0,06418
2020-04-02 Kl. 16-17;0,06433;0,06433;0,06433;0,05146;0,06433
2020-04-02 Kl. 17-18;0,06489;0,06489;0,06489;0,05191;0,06489
2020-04-02 Kl. 18-19;0,06518;0,06518;0,06518;0,05214;0,06518
2020-04-02 Kl. 19-20;0,06574;0,06574;0,06574;0,05259;0,06574
2020-04-02 Kl. 20-21;0,06603;0,06603;0,06603;0,05282;0,06603
2020-04-02 Kl. 21-22;0,06503;0,06503;0,06503;0,05202;0,06503
2020-04-02 Kl. 22-23;0,06333;0,06333;0,06333;0,05066;0,06333
2020-04-02 Kl. 23-00;0,05963;0,05963;0,05963;0,04770;0,05963
2020-04-03 Kl. 00-01;0,04804;0,04804;0,04804;0,03843;0,04804
2020-04-03 Kl. 01-02;0,04706;0,04706;0,04706;0,03765;0,04706
2020-04-03 Kl. 02-03;0,04678;0,04678;0,04678;0,03742;0,04678
2020-04-03 Kl. 03-04;0,04734;0,04734;0,04734;0,03787;0,04734
2020-04-03 Kl. 04-05;0,04860;0,04860;0,04860;0,03888;0,04860
2020-04-03 Kl. 05-06;0,05241;0,05241;0,05241;0,04193;0,05241
2020-04-03 Kl. 06-07;0,05664;0,05664;0,05664;0,04531;0,05664
2020-04-03 Kl. 07-08;0,06156;0,06156;0,06156;0,04925;0,06156
2020-04-03 Kl. 08-09;0,06340;0,06340;0,06340;0,05072;0,06340
2020-04-03 Kl. 09-10;0,06214;0,06214;0,06214;0,04971;0,06214
2020-04-03 Kl. 10-11;0,06059;0,06059;0,06059;0,04847;0,06059
2020-04-03 Kl. 11-12;0,05931;0,05931;0,05931;0,04745;0,05931
2020-04-03 Kl. 12-13;0,05819;0,05819;0,05819;0,04655;0,05819
2020-04-03 Kl. 13-14;0,05734;0,05734;0,05734;0,04587;0,05734
2020-04-03 Kl. 14-15;0,05621;0,05621;0,05621;0,04497;0,05621
2020-04-03 Kl. 15-16;0,05509;0,05509;0,05509;0,04407;0,05509
2020-04-03 Kl. 16-17;0,05621;0,05621;0,05621;0,04497;0,05621
2020-04-03 Kl. 17-18;0,05833;0,05833;0,05833;0,04666;0,05833
2020-04-03 Kl. 18-19;0,06086;0,06086;0,06086;0,04869;0,06086
2020-04-03 Kl. 19-20;0,06311;0,06311;0,06311;0,05049;0,06311
2020-04-03 Kl. 20-21;0,06410;0,06410;0,06396;0,05117;0,06410
2020-04-03 Kl. 21-22;0,06311;0,06311;0,06255;0,05004;0,06311
2020-04-03 Kl. 22-23;0,06214;0,06214;0,06086;0,04869;0,06214
2020-04-03 Kl. 23-00;0,06044;0,06044;0,06044;0,04835;0,06044
2020-04-04 Kl. 00-01;0,06233;0,06233;0,06078;0,04862;0,06233
2020-04-04 Kl. 01-02;0,06218;0,06218;0,06078;0,04862;0,06218
2020-04-04 Kl. 02-03;0,06176;0,06176;0,06063;0,04850;0,06176
2020-04-04 Kl. 03-04;0,06204;0,06204;0,06063;0,04850;0,06204
2020-04-04 Kl. 04-05;0,06275;0,06275;0,06091;0,04873;0,06275
2020-04-04 Kl. 05-06;0,06359;0,06359;0,06105;0,04884;0,06359
2020-04-04 Kl. 06-07;0,06430;0,06430;0,06105;0,04884;0,06430
2020-04-04 Kl. 07-08;0,06570;0,06570;0,06190;0,04952;0,06570
2020-04-04 Kl. 08-09;0,06684;0,06684;0,06275;0,05020;0,06684
2020-04-04 Kl. 09-10;0,06669;0,06669;0,06316;0,05053;0,06669
2020-04-04 Kl. 10-11;0,06641;0,06641;0,06246;0,04997;0,06641
2020-04-04 Kl. 11-12;0,06529;0,06529;0,06161;0,04929;0,06529
2020-04-04 Kl. 12-13;0,06388;0,06388;0,06049;0,04839;0,06388
2020-04-04 Kl. 13-14;0,06233;0,06233;0,06021;0,04817;0,06233
2020-04-04 Kl. 14-15;0,06120;0,06120;0,05993;0,04794;0,06120
2020-04-04 Kl. 15-16;0,06078;0,06078;0,06006;0,04805;0,06078
2020-04-04 Kl. 16-17;0,06176;0,06176;0,06049;0,04839;0,06176
2020-04-04 Kl. 17-18;0,06374;0,06374;0,06148;0,04918;0,06374
2020-04-04 Kl. 18-19;0,06486;0,06486;0,06275;0,05020;0,06486
2020-04-04 Kl. 19-20;0,06529;0,06529;0,06529;0,05223;0,06529
2020-04-04 Kl. 20-21;0,06500;0,06500;0,06500;0,05200;0,06500
2020-04-04 Kl. 21-22;0,06430;0,06430;0,06359;0,05087;0,06430
2020-04-04 Kl. 22-23;0,06388;0,06388;0,06303;0,05042;0,06388
2020-04-04 Kl. 23-00;0,06316;0,06316;0,06316;0,05053;0,06316
2020-04-05 Kl. 00-01;0,06610;0,06610;0,06610;0,05288;0,06610
2020-04-05 Kl. 01-02;0,06553;0,06553;0,06566;0,05253;0,06553
2020-04-05 Kl. 02-03;0,06510;0,06510;0,06638;0,05310;0,06510
2020-04-05 Kl. 03-04;0,06496;0,06496;0,06524;0,05219;0,06496
2020-04-05 Kl. 04-05;0,06496;0,06496;0,06610;0,05288;0,06496
2020-04-05 Kl. 05-06;0,06510;0,06510;0,06751;0,05401;0,06510
2020-04-05 Kl. 06-07;0,06496;0,06496;0,06581;0,05265;0,06496
2020-04-05 Kl. 07-08;0,06539;0,06539;0,06638;0,05310;0,06539
2020-04-05 Kl. 08-09;0,06610;0,06610;0,06823;0,05458;0,06610
2020-04-05 Kl. 09-10;0,06453;0,06453;0,06836;0,05469;0,06453
2020-04-05 Kl. 10-11;0,06055;0,06055;0,06311;0,05049;0,06055
2020-04-05 Kl. 11-12;0,05473;0,05473;0,05515;0,04412;0,05473
2020-04-05 Kl. 12-13;0,05074;0,05074;0,05415;0,04332;0,05074
2020-04-05 Kl. 13-14;0,04989;0,04989;0,05330;0,04264;0,04989
2020-04-05 Kl. 14-15;0,04989;0,04989;0,05160;0,04128;0,04989
2020-04-05 Kl. 15-16;0,05231;0,05231;0,05231;0,04185;0,05231
2020-04-05 Kl. 16-17;0,05571;0,05571;0,05571;0,04457;0,05571
2020-04-05 Kl. 17-18;0,06211;0,06211;0,06211;0,04969;0,06211
2020-04-05 Kl. 18-19;0,06610;0,06610;0,06965;0,05572;0,06610
2020-04-05 Kl. 19-20;0,06653;0,06653;0,07590;0,06072;0,06653
2020-04-05 Kl. 20-21;0,06624;0,06624;0,08315;0,06652;0,06624
2020-04-05 Kl. 21-22;0,06539;0,06539;0,07363;0,05890;0,06539
2020-04-05 Kl. 22-23;0,06468;0,06468;0,06496;0,05197;0,06468
2020-04-05 Kl. 23-00;0,06155;0,06155;0,06155;0,04924;0,06155
2020-04-06 Kl. 00-01;0,05870;0,05870;0,05870;0,04696;0,05870
2020-04-06 Kl. 01-02;0,05671;0,05671;0,05671;0,04537;0,05671
2020-04-06 Kl. 02-03;0,05743;0,05743;0,05743;0,04594;0,05743
2020-04-06 Kl. 03-04;0,05259;0,05259;0,05259;0,04207;0,05259
2020-04-06 Kl. 04-05;0,05203;0,05203;0,05203;0,04162;0,05203
2020-04-06 Kl. 05-06;0,06211;0,06211;0,06211;0,04969;0,06211
2020-04-06 Kl. 06-07;0,06638;0,06638;0,06723;0,05378;0,06638
2020-04-06 Kl. 07-08;0,06738;0,06738;0,07519;0,06015;0,06738
2020-04-06 Kl. 08-09;0,06865;0,06865;0,07775;0,06220;0,06865
2020-04-06 Kl. 09-10;0,06809;0,06809;0,07846;0,06277;0,06809
2020-04-06 Kl. 10-11;0,06723;0,06723;0,07960;0,06368;0,06723
2020-04-06 Kl. 11-12;0,06553;0,06553;0,07633;0,06106;0,06553
2020-04-06 Kl. 12-13;0,06481;0,06481;0,07036;0,05629;0,06481
2020-04-06 Kl. 13-14;0,06439;0,06439;0,06553;0,05242;0,06439
2020-04-06 Kl. 14-15;0,06296;0,06296;0,06296;0,05037;0,06296
2020-04-06 Kl. 15-16;0,06198;0,06198;0,06198;0,04958;0,06198
2020-04-06 Kl. 16-17;0,06155;0,06155;0,06155;0,04924;0,06155
2020-04-06 Kl. 17-18;0,06240;0,06240;0,06240;0,04992;0,06240
2020-04-06 Kl. 18-19;0,06254;0,06254;0,06254;0,05003;0,06254
2020-04-06 Kl. 19-20;0,06296;0,06296;0,06296;0,05037;0,06296
2020-04-06 Kl. 20-21;0,06368;0,06368;0,06368;0,05094;0,06368
2020-04-06 Kl. 21-22;0,06339;0,06339;0,06339;0,05071;0,06339
2020-04-06 Kl. 22-23;0,06084;0,06084;0,06084;0,04867;0,06084
2020-04-06 Kl. 23-00;0,05756;0,05756;0,05756;0,04605;0,05756
2020-04-07 Kl. 00-01;0,05465;0,05465;0,05465;0,04372;0,05465
2020-04-07 Kl. 01-02;0,05380;0,05380;0,05380;0,04304;0,05380
2020-04-07 Kl. 02-03;0,05351;0,05351;0,05351;0,04281;0,05351
2020-04-07 Kl. 03-04;0,05508;0,05508;0,05508;0,04406;0,05508
2020-04-07 Kl. 04-05;0,05678;0,05678;0,05678;0,04542;0,05678
2020-04-07 Kl. 05-06;0,05990;0,05990;0,05990;0,04792;0,05990
2020-04-07 Kl. 06-07;0,06686;0,06686;0,06686;0,05349;0,06686
2020-04-07 Kl. 07-08;0,06771;0,06771;0,06218;0,04974;0,06771
2020-04-07 Kl. 08-09;0,06899;0,06899;0,06345;0,05076;0,06899
2020-04-07 Kl. 09-10;0,06856;0,06856;0,06203;0,04962;0,06856
2020-04-07 Kl. 10-11;0,06756;0,06756;0,06019;0,04815;0,06756
2020-04-07 Kl. 11-12;0,06629;0,06629;0,05706;0,04565;0,06629
2020-04-07 Kl. 12-13;0,06573;0,06573;0,05749;0,04599;0,06573
2020-04-07 Kl. 13-14;0,06501;0,06501;0,05593;0,04474;0,06501
2020-04-07 Kl. 14-15;0,06445;0,06445;0,05479;0,04383;0,06445
2020-04-07 Kl. 15-16;0,06445;0,06445;0,05394;0,04315;0,06445
2020-04-07 Kl. 16-17;0,06445;0,06445;0,05380;0,04304;0,06445
2020-04-07 Kl. 17-18;0,06289;0,06289;0,06289;0,05031;0,06289
2020-04-07 Kl. 18-19;0,06416;0,06416;0,06416;0,05133;0,06416
2020-04-07 Kl. 19-20;0,06530;0,06530;0,06530;0,05224;0,06530
2020-04-07 Kl. 20-21;0,06573;0,06573;0,06573;0,05258;0,06573
2020-04-07 Kl. 21-22;0,06459;0,06459;0,06459;0,05167;0,06459
2020-04-07 Kl. 22-23;0,06374;0,06374;0,06231;0,04985;0,06374
2020-04-07 Kl. 23-00;0,05919;0,05919;0,05919;0,04735;0,05919
2020-04-08 Kl. 00-01;0,06088;0,06088;0,04989;0,03991;0,06088
2020-04-08 Kl. 01-02;0,05906;0,05906;0,04961;0,03969;0,05906
2020-04-08 Kl. 02-03;0,05823;0,05823;0,04920;0,03936;0,05823
2020-04-08 Kl. 03-04;0,05838;0,05838;0,04893;0,03914;0,05838
2020-04-08 Kl. 04-05;0,05963;0,05963;0,04864;0,03891;0,05963
2020-04-08 Kl. 05-06;0,06281;0,06281;0,04823;0,03858;0,06281
2020-04-08 Kl. 06-07;0,06629;0,06629;0,04739;0,03791;0,06629
2020-04-08 Kl. 07-08;0,06796;0,06796;0,04975;0,03980;0,06796
2020-04-08 Kl. 08-09;0,06894;0,06894;0,05114;0,04091;0,06894
2020-04-08 Kl. 09-10;0,06851;0,06851;0,05281;0,04225;0,06851
2020-04-08 Kl. 10-11;0,06824;0,06824;0,05254;0,04203;0,06824
2020-04-08 Kl. 11-12;0,06726;0,06726;0,05170;0,04136;0,06726
2020-04-08 Kl. 12-13;0,06629;0,06629;0,04989;0,03991;0,06629
2020-04-08 Kl. 13-14;0,06463;0,06463;0,04836;0,03869;0,06463
2020-04-08 Kl. 14-15;0,06365;0,06365;0,04809;0,03847;0,06365
2020-04-08 Kl. 15-16;0,06281;0,06281;0,04795;0,03836;0,06281
2020-04-08 Kl. 16-17;0,06254;0,06254;0,04823;0,03858;0,06254
2020-04-08 Kl. 17-18;0,06268;0,06268;0,04934;0,03947;0,06268
2020-04-08 Kl. 18-19;0,06254;0,06254;0,05003;0,04002;0,06254
2020-04-08 Kl. 19-20;0,06338;0,06338;0,05129;0,04103;0,06338
2020-04-08 Kl. 20-21;0,06406;0,06406;0,05143;0,04114;0,06406
2020-04-08 Kl. 21-22;0,06295;0,06295;0,05086;0,04069;0,06295
2020-04-08 Kl. 22-23;0,06045;0,06045;0,05031;0,04025;0,06045
2020-04-08 Kl. 23-00;0,05698;0,05698;0,04961;0,03969;0,05698
2020-04-09 Kl. 00-01;0,05964;0,05964;0,05206;0,04165;0,05964
2020-04-09 Kl. 01-02;0,05853;0,05853;0,05123;0,04098;0,05853
2020-04-09 Kl. 02-03;0,05796;0,05796;0,05080;0,04064;0,05796
2020-04-09 Kl. 03-04;0,05853;0,05853;0,05010;0,04008;0,05853
2020-04-09 Kl. 04-05;0,06049;0,06049;0,04926;0,03941;0,06049
2020-04-09 Kl. 05-06;0,06441;0,06441;0,04856;0,03885;0,06441
2020-04-09 Kl. 06-07;0,06694;0,06694;0,04603;0,03682;0,06694
2020-04-09 Kl. 07-08;0,06806;0,06806;0,04983;0,03986;0,06806
2020-04-09 Kl. 08-09;0,06863;0,06863;0,05220;0,04176;0,06863
2020-04-09 Kl. 09-10;0,06835;0,06835;0,05319;0,04255;0,06835
2020-04-09 Kl. 10-11;0,06820;0,06820;0,05375;0,04300;0,06820
2020-04-09 Kl. 11-12;0,06624;0,06624;0,05403;0,04322;0,06624
2020-04-09 Kl. 12-13;0,06511;0,06511;0,05431;0,04345;0,06511
2020-04-09 Kl. 13-14;0,06414;0,06414;0,05459;0,04367;0,06414
2020-04-09 Kl. 14-15;0,06315;0,06315;0,05431;0,04345;0,06315
2020-04-09 Kl. 15-16;0,06231;0,06231;0,05445;0,04356;0,06231
2020-04-09 Kl. 16-17;0,06301;0,06301;0,05445;0,04356;0,06301
2020-04-09 Kl. 17-18;0,06568;0,06568;0,05488;0,04390;0,06568
2020-04-09 Kl. 18-19;0,06666;0,06666;0,05558;0,04446;0,06666
2020-04-09 Kl. 19-20;0,06764;0,06764;0,05600;0,04480;0,06764
2020-04-09 Kl. 20-21;0,06863;0,06863;0,05641;0,04513;0,06863
2020-04-09 Kl. 21-22;0,06905;0,06905;0,05641;0,04513;0,06905
2020-04-09 Kl. 22-23;0,06933;0,06933;0,05614;0,04491;0,06933
2020-04-09 Kl. 23-00;0,06680;0,06680;0,05571;0,04457;0,06680
2020-04-10 Kl. 00-01;0,06714;0,06714;0,06166;0,04933;0,06714
2020-04-10 Kl. 01-02;0,06658;0,06658;0,06194;0,04955;0,06658
2020-04-10 Kl. 02-03;0,06658;0,06658;0,06166;0,04933;0,06658
2020-04-10 Kl. 03-04;0,06743;0,06743;0,06166;0,04933;0,06743
2020-04-10 Kl. 04-05;0,06840;0,06840;0,06110;0,04888;0,06840
2020-04-10 Kl. 05-06;0,06953;0,06953;0,06138;0,04910;0,06953
2020-04-10 Kl. 06-07;0,06953;0,06953;0,06068;0,04854;0,06953
2020-04-10 Kl. 07-08;0,07009;0,07009;0,05955;0,04764;0,07009
2020-04-10 Kl. 08-09;0,07079;0,07079;0,05421;0,04337;0,07079
2020-04-10 Kl. 09-10;0,07093;0,07093;0,05436;0,04349;0,07093
2020-04-10 Kl. 10-11;0,07093;0,07093;0,05309;0,04247;0,07093
2020-04-10 Kl. 11-12;0,07036;0,07036;0,05295;0,04236;0,07036
2020-04-10 Kl. 12-13;0,07009;0,07009;0,05211;0,04169;0,07009
2020-04-10 Kl. 13-14;0,06966;0,06966;0,05141;0,04113;0,06966
2020-04-10 Kl. 14-15;0,06939;0,06939;0,05113;0,04090;0,06939
2020-04-10 Kl. 15-16;0,06939;0,06939;0,05126;0,04101;0,06939
2020-04-10 Kl. 16-17;0,06925;0,06925;0,05619;0,04495;0,06925
2020-04-10 Kl. 17-18;0,06953;0,06953;0,05689;0,04551;0,06953
2020-04-10 Kl. 18-19;0,06966;0,06966;0,05843;0,04674;0,06966
2020-04-10 Kl. 19-20;0,07009;0,07009;0,05955;0,04764;0,07009
2020-04-10 Kl. 20-21;0,07065;0,07065;0,05984;0,04787;0,07065
2020-04-10 Kl. 21-22;0,07065;0,07065;0,05871;0,04697;0,07065
2020-04-10 Kl. 22-23;0,07051;0,07051;0,05970;0,04776;0,07051
2020-04-10 Kl. 23-00;0,06981;0,06981;0,05955;0,04764;0,06981
2020-04-11 Kl. 00-01;0,06981;0,06981;0,06489;0,05191;0,06981
2020-04-11 Kl. 01-02;0,06939;0,06939;0,06559;0,05247;0,06939
2020-04-11 Kl. 02-03;0,06925;0,06925;0,06671;0,05337;0,06925
2020-04-11 Kl. 03-04;0,06939;0,06939;0,06798;0,05438;0,06939
2020-04-11 Kl. 04-05;0,06966;0,06966;0,06826;0,05461;0,06966
2020-04-11 Kl. 05-06;0,07023;0,07023;0,06869;0,05495;0,07023
2020-04-11 Kl. 06-07;0,06995;0,06995;0,07023;0,05618;0,06995
2020-04-11 Kl. 07-08;0,07023;0,07023;0,07304;0,05843;0,07023
2020-04-11 Kl. 08-09;0,07065;0,07065;0,06953;0,05562;0,07065
2020-04-11 Kl. 09-10;0,07036;0,07036;0,07121;0,05697;0,07036
2020-04-11 Kl. 10-11;0,07051;0,07051;0,07178;0,05742;0,07051
2020-04-11 Kl. 11-12;0,07009;0,07009;0,07051;0,05641;0,07009
2020-04-11 Kl. 12-13;0,06981;0,06981;0,07009;0,05607;0,06981
2020-04-11 Kl. 13-14;0,06953;0,06953;0,06953;0,05562;0,06953
2020-04-11 Kl. 14-15;0,06925;0,06925;0,06925;0,05540;0,06925
2020-04-11 Kl. 15-16;0,06925;0,06925;0,06925;0,05540;0,06925
2020-04-11 Kl. 16-17;0,06953;0,06953;0,06953;0,05562;0,06953
2020-04-11 Kl. 17-18;0,06995;0,06995;0,06995;0,05596;0,06995
2020-04-11 Kl. 18-19;0,07079;0,07079;0,07079;0,05663;0,07079
2020-04-11 Kl. 19-20;0,07023;0,07023;0,07023;0,05618;0,07023
2020-04-11 Kl. 20-21;0,07065;0,07065;0,06910;0,05528;0,07065
2020-04-11 Kl. 21-22;0,06925;0,06925;0,06686;0,05349;0,06925
2020-04-11 Kl. 22-23;0,06671;0,06671;0,06531;0,05225;0,06671
2020-04-11 Kl. 23-00;0,06461;0,06461;0,06349;0,05079;0,06461
2020-04-12 Kl. 00-01;0,06180;0,06180;0,06124;0,04899;0,06180
2020-04-12 Kl. 01-02;0,05941;0,05941;0,05941;0,04753;0,05941
2020-04-12 Kl. 02-03;0,05773;0,05773;0,05773;0,04618;0,05773
2020-04-12 Kl. 03-04;0,05786;0,05786;0,05689;0,04551;0,05786
2020-04-12 Kl. 04-05;0,05871;0,05871;0,05590;0,04472;0,05871
2020-04-12 Kl. 05-06;0,05928;0,05928;0,05576;0,04461;0,05928
2020-04-12 Kl. 06-07;0,05871;0,05871;0,05491;0,04393;0,05871
2020-04-12 Kl. 07-08;0,05970;0,05970;0,05520;0,04416;0,05970
2020-04-12 Kl. 08-09;0,06293;0,06293;0,05464;0,04371;0,06293
2020-04-12 Kl. 09-10;0,06433;0,06433;0,05534;0,04427;0,06433
2020-04-12 Kl. 10-11;0,06293;0,06293;0,05576;0,04461;0,06293
2020-04-12 Kl. 11-12;0,05899;0,05899;0,05590;0,04472;0,05899
2020-04-12 Kl. 12-13;0,05338;0,05338;0,05338;0,04270;0,05338
2020-04-12 Kl. 13-14;0,04171;0,04171;0,04171;0,03337;0,04171
2020-04-12 Kl. 14-15;0,03034;0,03034;0,03034;0,02427;0,03034
2020-04-12 Kl. 15-16;0,03119;0,03119;0,03119;0,02495;0,03119
2020-04-12 Kl. 16-17;0,04214;0,04214;0,04214;0,03371;0,04214
2020-04-12 Kl. 17-18;0,05155;0,05155;0,05155;0,04124;0,05155
2020-04-12 Kl. 18-19;0,05660;0,05660;0,05365;0,04292;0,05660
2020-04-12 Kl. 19-20;0,05759;0,05759;0,05324;0,04259;0,05759
2020-04-12 Kl. 20-21;0,05914;0,05914;0,05309;0,04247;0,05914
2020-04-12 Kl. 21-22;0,06040;0,06040;0,05281;0,04225;0,06040
2020-04-12 Kl. 22-23;0,05365;0,05365;0,05365;0,04292;0,05365
2020-04-12 Kl. 23-00;0,04818;0,04818;0,04818;0,03854;0,04818
2020-04-13 Kl. 00-01;0,04074;0,04074;0,04074;0,03259;0,04074
2020-04-13 Kl. 01-02;0,02318;0,02318;0,02318;0,01854;0,02318
2020-04-13 Kl. 02-03;0,02416;0,02416;0,02416;0,01933;0,02416
2020-04-13 Kl. 03-04;0,01741;0,01741;0,01741;0,01393;0,01741
2020-04-13 Kl. 04-05;0,01966;0,01966;0,01966;0,01573;0,01966
2020-04-13 Kl. 05-06;0,02023;0,02023;0,02023;0,01618;0,02023
2020-04-13 Kl. 06-07;0,02345;0,02345;0,02345;0,01876;0,02345
2020-04-13 Kl. 07-08;0,02570;0,02570;0,02570;0,02056;0,02570
2020-04-13 Kl. 08-09;0,02711;0,02711;0,02711;0,02169;0,02711
2020-04-13 Kl. 09-10;0,02978;0,02978;0,02978;0,02382;0,02978
2020-04-13 Kl. 10-11;0,03104;0,03104;0,03104;0,02483;0,03104
2020-04-13 Kl. 11-12;0,02964;0,02964;0,02964;0,02371;0,02964
2020-04-13 Kl. 12-13;0,02851;0,02851;0,02851;0,02281;0,02851
2020-04-13 Kl. 13-14;0,02753;0,02753;0,02753;0,02202;0,02753
2020-04-13 Kl. 14-15;0,02626;0,02626;0,02626;0,02101;0,02626
2020-04-13 Kl. 15-16;0,02473;0,02473;0,02473;0,01978;0,02473
2020-04-13 Kl. 16-17;0,02585;0,02585;0,02585;0,02068;0,02585
2020-04-13 Kl. 17-18;0,03301;0,03301;0,03301;0,02641;0,03301
2020-04-13 Kl. 18-19;0,04228;0,04228;0,04228;0,03382;0,04228
2020-04-13 Kl. 19-20;0,05464;0,05464;0,05056;0,04045;0,05464
2020-04-13 Kl. 20-21;0,06335;0,06335;0,05056;0,04045;0,06335
2020-04-13 Kl. 21-22;0,06503;0,06503;0,05085;0,04068;0,06503
2020-04-13 Kl. 22-23;0,06153;0,06153;0,05295;0,04236;0,06153
2020-04-13 Kl. 23-00;0,05801;0,05801;0,05338;0,04270;0,05801
2020-04-14 Kl. 00-01;0,05324;0,05324;0,05324;0,04259;0,05324
2020-04-14 Kl. 01-02;0,05773;0,05773;0,05351;0,04281;0,05773
2020-04-14 Kl. 02-03;0,05478;0,05478;0,05309;0,04247;0,05478
2020-04-14 Kl. 03-04;0,05563;0,05563;0,05338;0,04270;0,05563
2020-04-14 Kl. 04-05;0,06306;0,06306;0,05421;0,04337;0,06306
2020-04-14 Kl. 05-06;0,06588;0,06588;0,05239;0,04674;0,06588
2020-04-14 Kl. 06-07;0,06813;0,06813;0,04523;0,04989;0,06813
2020-04-14 Kl. 07-08;0,07023;0,07023;0,04818;0,05090;0,07023
2020-04-14 Kl. 08-09;0,07205;0,07205;0,05198;0,05158;0,07205
2020-04-14 Kl. 09-10;0,07023;0,07023;0,05239;0,05169;0,07023
2020-04-14 Kl. 10-11;0,06995;0,06995;0,05394;0,05158;0,06995
2020-04-14 Kl. 11-12;0,06953;0,06953;0,05563;0,05135;0,06953
2020-04-14 Kl. 12-13;0,06925;0,06925;0,05745;0,05113;0,06925
2020-04-14 Kl. 13-14;0,06896;0,06896;0,06025;0,05090;0,06896
2020-04-14 Kl. 14-15;0,06826;0,06826;0,06279;0,05068;0,06826
2020-04-14 Kl. 15-16;0,06728;0,06728;0,06475;0,05180;0,06728
2020-04-14 Kl. 16-17;0,06686;0,06686;0,06615;0,05292;0,06686
2020-04-14 Kl. 17-18;0,06756;0,06756;0,06756;0,05405;0,06756
2020-04-14 Kl. 18-19;0,06826;0,06826;0,06671;0,05337;0,06826
2020-04-14 Kl. 19-20;0,06854;0,06854;0,06518;0,05214;0,06854
2020-04-14 Kl. 20-21;0,06840;0,06840;0,06363;0,05090;0,06840
2020-04-14 Kl. 21-22;0,06714;0,06714;0,06223;0,04978;0,06714
2020-04-14 Kl. 22-23;0,06489;0,06489;0,05829;0,04877;0,06489
2020-04-14 Kl. 23-00;0,06138;0,06138;0,05534;0,04820;0,06138
2020-04-15 Kl. 00-01;0,05691;0,05691;0,05508;0,04406;0,05691
2020-04-15 Kl. 01-02;0,05324;0,05324;0,05196;0,04157;0,05324
2020-04-15 Kl. 02-03;0,05113;0,05113;0,04999;0,03999;0,05113
2020-04-15 Kl. 03-04;0,05113;0,05113;0,04914;0,03931;0,05113
2020-04-15 Kl. 04-05;0,05409;0,05409;0,04871;0,03897;0,05409
2020-04-15 Kl. 05-06;0,05903;0,05903;0,04929;0,03943;0,05903
2020-04-15 Kl. 06-07;0,06694;0,06694;0,04716;0,03954;0,06694
2020-04-15 Kl. 07-08;0,07358;0,07358;0,05140;0,04112;0,07358
2020-04-15 Kl. 08-09;0,07724;0,07724;0,05324;0,04632;0,07724
2020-04-15 Kl. 09-10;0,07443;0,07443;0,05338;0,04395;0,07443
2020-04-15 Kl. 10-11;0,07118;0,07118;0,05295;0,04236;0,07118
2020-04-15 Kl. 11-12;0,06920;0,06920;0,05380;0,04304;0,06920
2020-04-15 Kl. 12-13;0,06793;0,06793;0,05465;0,04372;0,06793
2020-04-15 Kl. 13-14;0,06638;0,06638;0,05903;0,04722;0,06638
2020-04-15 Kl. 14-15;0,06298;0,06298;0,06298;0,05038;0,06298
2020-04-15 Kl. 15-16;0,06439;0,06439;0,06439;0,05151;0,06439
2020-04-15 Kl. 16-17;0,06439;0,06439;0,06439;0,05151;0,06439
2020-04-15 Kl. 17-18;0,06566;0,06566;0,06566;0,05253;0,06566
2020-04-15 Kl. 18-19;0,06679;0,06679;0,06679;0,05343;0,06679
2020-04-15 Kl. 19-20;0,06694;0,06694;0,06694;0,05355;0,06694
2020-04-15 Kl. 20-21;0,06679;0,06679;0,06679;0,05343;0,06679
2020-04-15 Kl. 21-22;0,06566;0,06566;0,06566;0,05253;0,06566
2020-04-15 Kl. 22-23;0,06241;0,06241;0,06241;0,04993;0,06241
2020-04-15 Kl. 23-00;0,05649;0,05649;0,05649;0,04801;0,05649
2020-04-16 Kl. 00-01;0,04874;0,04874;0,04874;0,05229;0,04874
2020-04-16 Kl. 01-02;0,04601;0,04601;0,04601;0,05218;0,04601
2020-04-16 Kl. 02-03;0,04501;0,04501;0,04501;0,05207;0,04501
2020-04-16 Kl. 03-04;0,04530;0,04530;0,04530;0,05207;0,04530
2020-04-16 Kl. 04-05;0,04774;0,04774;0,04774;0,05218;0,04774
2020-04-16 Kl. 05-06;0,05361;0,05361;0,05361;0,05229;0,05361
2020-04-16 Kl. 06-07;0,06494;0,06494;0,04918;0,05241;0,06494
2020-04-16 Kl. 07-08;0,07139;0,07139;0,05333;0,05321;0,07139
2020-04-16 Kl. 08-09;0,07884;0,07884;0,05433;0,05356;0,07884
2020-04-16 Kl. 09-10;0,07713;0,07713;0,05433;0,05356;0,07713
