Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2016-02-06 Kl. 14-15;0,18368;0,18368;0,18368;0,14694;0,18368
2016-02-06 Kl. 15-16;0,18570;0,18570;0,18570;0,14856;0,18570
2016-02-06 Kl. 16-17;0,19838;0,19838;0,19838;0,15870;0,19838
2016-02-06 Kl. 17-18;0,21426;0,21426;0,21426;0,17141;0,21426
2016-02-06 Kl. 18-19;0,21283;0,21283;0,21283;0,17026;0,21283
2016-02-06 Kl. 19-20;0,20543;0,20543;0,20543;0,16434;0,20543
2016-02-06 Kl. 20-21;0,19204;0,19204;0,19204;0,15363;0,19204
2016-02-06 Kl. 21-22;0,18570;0,18570;0,18570;0,14856;0,18570
2016-02-06 Kl. 22-23;0,18295;0,18295;0,18295;0,14636;0,18295
2016-02-06 Kl. 23-00;0,17698;0,17698;0,17938;0,14350;0,17698
2016-02-07 Kl. 00-01;0,17259;0,17259;0,18284;0,14627;0,17259
2016-02-07 Kl. 01-02;0,16531;0,16531;0,18141;0,14513;0,16531
2016-02-07 Kl. 02-03;0,16220;0,16220;0,17986;0,14389;0,16220
2016-02-07 Kl. 03-04;0,15851;0,15851;0,17986;0,14389;0,15851
2016-02-07 Kl. 04-05;0,15410;0,15410;0,18021;0,14417;0,15410
2016-02-07 Kl. 05-06;0,15815;0,15815;0,18093;0,14474;0,15815
2016-02-07 Kl. 06-07;0,16220;0,16220;0,18141;0,14513;0,16220
2016-02-07 Kl. 07-08;0,17270;0,17270;0,18176;0,14541;0,17270
2016-02-07 Kl. 08-09;0,17425;0,17425;0,18200;0,14560;0,17425
2016-02-07 Kl. 09-10;0,18153;0,18153;0,18415;0,14732;0,18153
2016-02-07 Kl. 10-11;0,18451;0,18451;0,18618;0,14894;0,18451
2016-02-07 Kl. 11-12;0,18451;0,18451;0,18701;0,14961;0,18451
2016-02-07 Kl. 12-13;0,18081;0,18081;0,18714;0,14971;0,18081
2016-02-07 Kl. 13-14;0,17795;0,17795;0,18714;0,14971;0,17795
2016-02-07 Kl. 14-15;0,17425;0,17425;0,18796;0,15037;0,17425
2016-02-07 Kl. 15-16;0,17473;0,17473;0,18951;0,15161;0,17473
2016-02-07 Kl. 16-17;0,17533;0,17533;0,18904;0,15123;0,17533
2016-02-07 Kl. 17-18;0,19596;0,19596;0,19596;0,15677;0,19596
2016-02-07 Kl. 18-19;0,20490;0,20490;0,20490;0,16392;0,20490
2016-02-07 Kl. 19-20;0,20038;0,20038;0,20038;0,16030;0,20038
2016-02-07 Kl. 20-21;0,19369;0,19369;0,19369;0,15495;0,19369
2016-02-07 Kl. 21-22;0,18404;0,18404;0,18749;0,14999;0,18404
2016-02-07 Kl. 22-23;0,17938;0,17938;0,18845;0,15076;0,17938
2016-02-07 Kl. 23-00;0,16841;0,16841;0,18439;0,14751;0,16841
2016-02-08 Kl. 00-01;0,13775;0,13775;0,19345;0,14637;0,13775
2016-02-08 Kl. 01-02;0,11033;0,11033;0,18940;0,14579;0,11033
2016-02-08 Kl. 02-03;0,12965;0,12965;0,18820;0,14541;0,12965
2016-02-08 Kl. 03-04;0,12285;0,12285;0,19106;0,14541;0,12285
2016-02-08 Kl. 04-05;0,14038;0,14038;0,19345;0,14560;0,14038
2016-02-08 Kl. 05-06;0,15791;0,15791;0,19739;0,14646;0,15791
2016-02-08 Kl. 06-07;0,17616;0,17616;0,20383;0,14885;0,17616
2016-02-08 Kl. 07-08;0,19286;0,19286;0,21110;0,15429;0,19286
2016-02-08 Kl. 08-09;0,19739;0,19739;0,21254;0,15791;0,19739
2016-02-08 Kl. 09-10;0,19573;0,19573;0,21230;0,15658;0,19573
2016-02-08 Kl. 10-11;0,19751;0,19751;0,21230;0,15801;0,19751
2016-02-08 Kl. 11-12;0,19810;0,19810;0,21123;0,15848;0,19810
2016-02-08 Kl. 12-13;0,19500;0,19500;0,21086;0,15600;0,19500
2016-02-08 Kl. 13-14;0,19203;0,19203;0,21123;0,15362;0,19203
2016-02-08 Kl. 14-15;0,19263;0,19263;0,21135;0,15410;0,19263
2016-02-08 Kl. 15-16;0,19500;0,19500;0,21396;0,15600;0,19500
2016-02-08 Kl. 16-17;0,19441;0,19441;0,21469;0,15553;0,19441
2016-02-08 Kl. 17-18;0,20824;0,20824;0,21445;0,16173;0,20824
2016-02-08 Kl. 18-19;0,20634;0,20634;0,20634;0,16507;0,20634
2016-02-08 Kl. 19-20;0,20324;0,20324;0,20324;0,16259;0,20324
2016-02-08 Kl. 20-21;0,19263;0,19263;0,19263;0,15410;0,19263
2016-02-08 Kl. 21-22;0,18355;0,18355;0,18665;0,14932;0,18355
2016-02-08 Kl. 22-23;0,17819;0,17819;0,18439;0,14751;0,17819
2016-02-08 Kl. 23-00;0,16698;0,16698;0,18021;0,14417;0,16698
2016-02-09 Kl. 00-01;0,17313;0,17313;0,18066;0,14453;0,17313
2016-02-09 Kl. 01-02;0,17050;0,17050;0,17768;0,14214;0,17050
2016-02-09 Kl. 02-03;0,16201;0,16201;0,17671;0,14137;0,16201
2016-02-09 Kl. 03-04;0,15830;0,15830;0,17671;0,14137;0,15830
2016-02-09 Kl. 04-05;0,17061;0,17061;0,17803;0,14242;0,17061
2016-02-09 Kl. 05-06;0,18449;0,18449;0,18449;0,14759;0,18449
